type,operation,energy
copyOnWriteArrayList,sequentialGet,0.01,0.14,0.2,0.0
copyOnWriteArrayList,randomGet,0.0,0.05,0.07,0.0
copyOnWriteArrayList,remove(starting-index),0.0,0.14,0.2,0.0
copyOnWriteArrayList,add(starting-index;value),0.02,0.12,0.16,0.0023333335
copyOnWriteArrayList,add(middle-index;value),0.04,0.16,0.25,0.0
copyOnWriteArrayList,remove(middle-index),0.0,0.01,0.02,0.0
copyOnWriteArrayList,add(ending-index;value),0.01,0.05,0.07,0.0
copyOnWriteArrayList,remove(ending-index),0.03,0.15,0.24,0.0
synchronizedFastList(EclipseCollections),add(value),0.01,0.03,0.04,0.0
synchronizedFastList(EclipseCollections),iterator,0.0,0.01,0.02,0.0
synchronizedFastList(EclipseCollections),sequentialGet,0.0,0.06,0.09,0.0
synchronizedFastList(EclipseCollections),randomGet,0.0,0.03,0.04,0.0
synchronizedFastList(EclipseCollections),remove(starting-index),0.0,0.02,0.03,0.0
synchronizedFastList(EclipseCollections),add(starting-index;value),0.0,0.05,0.07,0.0023333335
synchronizedFastList(EclipseCollections),add(middle-index;value),0.0,0.01,0.01,0.0
synchronizedFastList(EclipseCollections),remove(middle-index),0.0,0.03,0.05,0.0
synchronizedFastList(EclipseCollections),add(ending-index;value),0.0,0.02,0.02,0.0
synchronizedFastList(EclipseCollections),remove(ending-index),0.0,0.0,0.0,0.0
arrayList,add(value),0.0,0.02,0.04,0.0
arrayList,iterator,0.0,0.03,0.05,0.0
arrayList,sequentialGet,0.0,0.0,0.01,0.0
arrayList,randomGet,0.0,0.0,0.0,0.0
arrayList,remove(starting-index),0.0,0.0,0.0,0.0
arrayList,add(starting-index;value),0.0,0.0,0.0,3.3333336E-4
arrayList,add(middle-index;value),0.0,0.0,0.0,0.0
arrayList,remove(middle-index),0.0,0.01,0.05,0.0
arrayList,add(ending-index;value),0.0,0.01,0.01,0.0
arrayList,remove(ending-index),0.0,0.01,0.02,0.0
linkedList,add(value),0.0,0.0,0.01,0.0
linkedList,iterator,0.0,0.0,0.01,0.0
linkedList,sequentialGet,0.0,0.0,0.02,0.0
linkedList,randomGet,0.0,0.0,0.0,0.0
linkedList,remove(starting-index),0.0,0.01,0.0,0.0
linkedList,add(starting-index;value),0.0,0.0,0.04,3.3333336E-4
linkedList,add(middle-index;value),0.0,0.04,0.05,0.0
linkedList,remove(middle-index),0.0,0.02,0.05,0.0
linkedList,add(ending-index;value),0.0,0.0,0.0,0.0
linkedList,remove(ending-index),0.0,0.01,0.02,0.0
fastList(EclipseCollections),add(value),0.0,0.0,0.0,0.0
fastList(EclipseCollections),iterator,0.0,0.0,0.0,0.0
fastList(EclipseCollections),sequentialGet,0.0,0.0,0.01,0.0
fastList(EclipseCollections),randomGet,0.0,0.0,0.0,0.0
fastList(EclipseCollections),remove(starting-index),0.0,0.0,0.0,0.0
fastList(EclipseCollections),add(starting-index;value),0.0,0.0,0.01,0.0
fastList(EclipseCollections),add(middle-index;value),0.0,0.0,0.0,0.0
fastList(EclipseCollections),remove(middle-index),0.0,0.01,0.02,0.0
fastList(EclipseCollections),add(ending-index;value),0.0,0.0,0.01,0.0
fastList(EclipseCollections),remove(ending-index),0.0,0.0,0.0,0.0
treeList(ApacheCommonsCollections),add(value),0.0,0.01,0.01,0.0
treeList(ApacheCommonsCollections),iterator,0.0,0.04,0.06,0.0
treeList(ApacheCommonsCollections),sequentialGet,0.0,0.0,0.01,0.0
treeList(ApacheCommonsCollections),randomGet,0.0,0.01,0.01,0.0
treeList(ApacheCommonsCollections),remove(starting-index),0.0,0.01,0.02,0.0
treeList(ApacheCommonsCollections),add(starting-index;value),0.0,0.0,0.01,0.0
treeList(ApacheCommonsCollections),add(middle-index;value),0.0,0.0,0.01,0.0
treeList(ApacheCommonsCollections),remove(middle-index),0.0,0.06,0.08,0.0
treeList(ApacheCommonsCollections),add(ending-index;value),0.0,0.0,0.0,0.0
treeList(ApacheCommonsCollections),remove(ending-index),0.0,0.0,0.0,0.0
nodeCachingLinkedList(ApacheCommonsCollections),add(value),0.01,0.04,0.05,0.0
nodeCachingLinkedList(ApacheCommonsCollections),iterator,0.0,0.0,0.0,0.0
nodeCachingLinkedList(ApacheCommonsCollections),sequentialGet,0.0,0.0,0.0,0.0
nodeCachingLinkedList(ApacheCommonsCollections),randomGet,0.0,0.0,0.0,0.0
nodeCachingLinkedList(ApacheCommonsCollections),remove(starting-index),0.0,0.0,0.0,0.0
nodeCachingLinkedList(ApacheCommonsCollections),add(starting-index;value),0.0,0.0,0.01,3.3333336E-4
nodeCachingLinkedList(ApacheCommonsCollections),add(middle-index;value),0.0,0.0,0.0,0.0
nodeCachingLinkedList(ApacheCommonsCollections),remove(middle-index),0.0,0.0,0.0,0.0
nodeCachingLinkedList(ApacheCommonsCollections),add(ending-index;value),0.0,0.0,0.0,0.0
nodeCachingLinkedList(ApacheCommonsCollections),remove(ending-index),0.0,0.0,0.0,0.0
cursorableLinkedList(ApacheCommonsCollections),add(value),0.0,0.0,0.01,0.0
cursorableLinkedList(ApacheCommonsCollections),iterator,0.0,0.0,0.0,0.0
cursorableLinkedList(ApacheCommonsCollections),sequentialGet,0.0,0.0,0.0,0.0
cursorableLinkedList(ApacheCommonsCollections),randomGet,0.0,0.0,0.01,0.0
cursorableLinkedList(ApacheCommonsCollections),remove(starting-index),0.0,0.0,0.0,0.0
cursorableLinkedList(ApacheCommonsCollections),add(starting-index;value),0.0,0.0,0.0,0.0
cursorableLinkedList(ApacheCommonsCollections),add(middle-index;value),0.0,0.0,0.01,0.0
cursorableLinkedList(ApacheCommonsCollections),remove(middle-index),0.0,0.0,0.0,0.0
